huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
051201130902,051201130903,Sandy Slough-Wabash River,67.26,"IL,IN",1471.66943359375,1471.66943359375,1155.66943359375,1471.66943359375,1452,1452.0426025390625,1452.0426025390625,1446.0426025390625,1446.0426025390625,1446.0426025390625,1446.0426025390625
051201130904,051402020705,Willow Pond Slough-Wabash River,120.58,"IL,IN",11101.0732421875,11101.0732421875,11095.0732421875,11082.369140625,1400.34326171875,1458.894775390625,1458.894775390625,1622.894775390625,1622.894775390625,1324.894775390625,850.894775390625
051402020705,051402030102,Sibley Creek-Ohio River,162,"IL,IN,KY",15889.0263671875,15215.0263671875,10485.0263671875,9701.0263671875,4993.02587890625,5137.02587890625,5137.02587890625,5137.02587890625,5137.02587890625,5137.02587890625,3519.026123046875
051202090301,051202090303,Green Creek-Hunley Creek,71.89,IN,7373.8701171875,8009.8701171875,6468,5964,5964,5642,11810,11804,11804,12108,12096
051202090601,051202090603,Cup Creek,45.9,IN,3530,3530,11290,11126,11126,11126,9230,9230,9230,8756,9536
051201011003,051201011004,Robinson Creek,45.09,IN,3163.505615234375,2963.505615234375,3279.505615234375,2963.505615234375,1186,1216,1080,1080,1080,1128,1128
040500011602,040500011604,Winebrenner Branch-Carrol Creek,49.8,IN,8326,7182,7102,7102,7438.8212890625,10124.8212890625,10124.8212890625,8690.8212890625,9790.8212890625,16662.8203125,37530.8203125
040500011604,040500011605,Muncie Lake-South Branch Elkhart River,42.67,IN,18574.34765625,15876.34765625,13030.34765625,13170.34765625,18042.34765625,17252.34765625,16960.34765625,16012.34765625,16012.34765625,17834.34765625,20100.34765625
040500011701,040500011702,Village Lake-Turkey Creek,41.02,IN,5436.267578125,5290.267578125,3454.267578125,5188.267578125,4763.39501953125,4763.39501953125,4763.39501953125,4733.39501953125,4751.39501953125,4289.39501953125,4289.39501953125
040500011702,040500011704,Lake Wawasee-Turkey Creek,57.58,IN,5280,5280,5590,5280,5274,4800,5274,5274,4010,4010,4010
051202090801,051202090804,Keg Creek,58.69,IN,1680,1680,1758,1522,1492,1492,1498,1498,866,866,710
051202090803,051202090804,Lost Creek,42.86,IN,1482.95166015625,1800.95166015625,1782.95166015625,1782.95166015625,1624.95166015625,1624.95166015625,1154.95166015625,1154.95166015625,998.95166015625,164,164
041000030706,041000030707,Willow Creek,82.5,IN,19141.0078125,16475.0078125,16096.5361328125,16401.0078125,22498.671875,15285.0087890625,24101.6484375,24113.6484375,23937.6484375,22783.7734375,22813.7734375
040500011703,040500011705,Wabee Lake-Hammond Ditch,39.47,IN,2753.763671875,2753.763671875,2917.763671875,2675.763671875,2753.763671875,1079.6739501953125,1079.6739501953125,1079.6739501953125,1079.6739501953125,1079.6739501953125,1079.6739501953125
040500011705,040500011707,Coppes Ditch-Turkey Creek,57.78,IN,236,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375,2928.3740234375
051401040704,051401040706,Mill Creek,54.26,IN,1276.709228515625,1276.709228515625,1276.709228515625,1118.709228515625,1124.709228515625,1136.709228515625,504.7092590332031,504.7092590332031,504.7092590332031,358,358
051401040701,051401040703,Headwaters West Fork Blue River,50.82,IN,990,1184,1026,1184,1166,1166,1166,692,692,686,686
