huc12,tohuc,name,areasqkm,states,sum,area_sqkm
050800030106,050800030108,Symons Creek,81.21,IN,22872.18359375,57.180458984375
051202080101,051202080103,Rush Creek,64,IN,2878.9970703125,7.19749267578125
050800030201,050800030202,Little Mud Creek-Mud Creek,45.66,IN,14455.7958984375,36.13948974609375
050800030202,050800030203,Copy Run-Greens Fork,84.56,IN,23282.197265625,58.2054931640625
051201040101,051201040102,Headwaters Blue River,54.35,IN,9136.59375,22.841484375
051201040202,051201040203,Johnson Drain-Eel River,63.92,IN,15976.298828125,39.9407470703125
050800020907,050902030204,Doublelick Run-Great Miami River,42.04,"IN,OH",2478.621826171875,6.196554565429688
041000040403,041000040405,Headwaters Blue Creek,63.86,IN,21381.703125,53.4542578125
041000040603,041000040604,Fairfield Ditch,59.44,IN,15048.0498046875,37.62012451171875
051201030507,051201030508,Little Deer Creek-Deer Creek,67.22,IN,24166.29296875,60.415732421875
041000040402,041000040405,Gales Ditch,52.58,IN,14277.4560546875,35.69364013671875
050800030402,050800030403,Brushy Fork-Williams Creek,50.92,IN,15096.3974609375,37.74099365234375
041000040404,041000040405,Little Blue Creek,42.81,"IN,OH",13497.0537109375,33.74263427734375
050800011001,050800011004,Dismal Creek,50.05,"IN,OH",15019.931640625,37.5498291015625
050800011004,050800011102,Headwaters Greenville Creek,89.68,"IN,OH",26964.37109375,67.410927734375
050800030810,050800020906,Jameson Creek-Whitewater River,75.33,"IN,OH",2424.096923828125,6.060242309570312
050800030407,050800030408,Sanes Creek,50.05,IN,5446.5732421875,13.61643310546875
050800030403,050800030405,Little Williams Creek-Williams Creek,69.17,IN,13159.064453125,32.8976611328125
051201010502,051201010601,Brewster Ditch-Wabash River,62.05,IN,17377.951171875,43.4448779296875
050800030406,050800030408,Garrison Creek,67.23,IN,5002.67578125,12.506689453125
051201030101,051201030102,Little Mississinewa River,53.98,"IN,OH",17227.01171875,43.067529296875
051202050101,051202050102,Mud Run-Flatrock River,62,IN,18982.353515625,47.4558837890625
051202050103,051202050104,Shawnee Creek,77.25,IN,27070.734375,67.6768359375
051202050104,051202050402,Wikoff Ditch-Flatrock River,93.23,IN,32215.84375,80.539609375
051202050201,051202050202,Headwaters Little Flatrock River,68.18,IN,23066.138671875,57.6653466796875
050800030501,050800030502,Headwaters Salt Creek,44.79,IN,8619.9833984375,21.54995849609375
050800030503,050800030505,Bull Fork,56.76,IN,7122.8896484375,17.80722412109375
050800030504,050800030505,Little Salt Creek,65.71,IN,9856.7314453125,24.64182861328125
050800030601,050800030604,Headwaters Pipe Creek,55.95,IN,7793.33837890625,19.483345947265626
051201060105,051201060205,Tippecanoe Lake-Tippecanoe River,69.54,IN,10012.994140625,25.0324853515625
050800030505,050800030605,Fremont Branch-Salt Creek,64.51,IN,3557.382080078125,8.893455200195312
051202050401,051202050402,Ben Davis Creek,47.65,IN,15631.900390625,39.0797509765625
051202050402,051202050403,Turkey Creek-Flatrock River,63.16,IN,19652.271484375,49.1306787109375
051201060103,051201060105,Smalley Lake-Tippecanoe River,88.93,IN,17509.1796875,43.77294921875
051201060205,051201060302,Ruple Ditch-Tippecanoe River,53.34,IN,9286.771484375,23.2169287109375
051201060302,051201060305,Pole Run Ditch-Tippecanoe River,82.43,IN,17348.400390625,43.3710009765625
051202070101,051202070102,Headwaters Big Creek,40.87,IN,6686.00732421875,16.715018310546874
050800030806,050800030810,Johnson Fork-Whitewater River,85.06,IN,2352.903564453125,5.882258911132812
071200030304,071200030305,Plum Creek-Hart Ditch,42.57,IN,163.88304138183594,0.40970760345458984
071200011001,071200011005,Slocum Ditch,66.63,IN,21693.017578125,54.2325439453125
051201030508,051201030510,Deer Creek,50,IN,15263.64453125,38.159111328125
051201030509,051201030510,Lugar Creek,77.16,IN,17910.728515625,44.7768212890625
071200010202,071200010203,Chain-O-Lakes Ditch-Geyer Ditch,67.34,"IN,MI",11993.5947265625,29.98398681640625
071200010106,071200010405,Minnow Branch-Pine Creek,40.62,IN,9412.3740234375,23.53093505859375
071200010101,071200010103,Headwaters Peter Sarber Ditch,52.37,IN,11512.5009765625,28.78125244140625
071200010207,CLOSED BASIN,Clear Lake,59.14,IN,10417.275390625,26.0431884765625
051201060304,051201060305,Ridenour Ditch-Danner Ditch,52.43,IN,16795.693359375,41.9892333984375
071200010802,071200010806,Hanna Arm of Tuesburg Ditch,52.01,IN,16806.392578125,42.0159814453125
051201030501,051201030502,Hoppas Ditch-Mississinewa River,43.41,IN,13114.3017578125,32.78575439453125
071200010301,071200010302,Lateral Number Five,44.11,IN,13836.5458984375,34.59136474609375
071200011309,071200011310,Town of Klaasville-West Creek,46.16,"IL,IN",9308.8974609375,23.27224365234375
071200030302,071200030304,Town of Willowbrook-Plum Creek,41.09,"IL,IN",3482.3876953125,8.70596923828125
071200020701,071200020705,Upper Sugar Creek-Sugar Creek,56.78,IN,20918.310546875,52.2957763671875
071200010303,071200010309,Armey Ditch,68.06,IN,15037.9833984375,37.59495849609375
071200010405,071200010408,Johanni Ditch-Kankakee River,124.32,IN,34079.60546875,85.199013671875
071200010305,071200010309,Stock Ditch,68.05,IN,17994.00390625,44.985009765625
